iter,loss,rmse
1,0.8588,1.5308
2,1.1249,1.4373
3,1.2365,1.1683
4,1.3076,1.2456
5,1.3524,1.3563
6,1.3781,1.2813
7,1.3897,1.1530
8,1.4021,1.1270
9,1.4073,1.1363
10,1.4132,1.2228
11,1.4168,1.2027
12,1.4182,1.1244
13,1.4181,1.0945
14,1.4171,1.1087
15,1.4157,1.1181
16,1.4136,1.0807
17,1.4115,1.0612
18,1.4095,1.0661
19,1.4071,1.0608
20,1.4046,1.0776
21,1.4023,1.0895
22,1.3996,1.0643
23,1.3967,1.0119
24,1.3935,0.9953
25,1.3902,1.0071
26,1.3867,1.0143
27,1.3832,1.0382
28,1.3803,1.0454
29,1.3777,1.0217
30,1.3745,0.9898
31,1.3713,0.9908
32,1.3682,0.9821
33,1.3650,0.9919
34,1.3616,0.9938
35,1.3588,0.9934
36,1.3554,0.9783
37,1.3526,0.9548
