iter,loss,rmse
1,0.9851,4.3396
2,1.2789,4.2285
3,1.4293,3.5924
4,1.4777,3.6351
5,1.4925,3.4860
6,1.4968,3.2634
7,1.4938,3.3939
8,1.4819,3.1895
9,1.4704,2.9925
10,1.4570,2.7975
11,1.4467,2.8186
12,1.4329,2.6365
13,1.4204,2.7658
14,1.4079,2.6251
15,1.3948,2.6883
16,1.3828,2.7526
17,1.3702,2.6939
18,1.3590,2.7123
19,1.3485,2.5612
20,1.3370,2.5535
21,1.3268,2.6550
22,1.3162,2.5498
23,1.3062,2.5282
24,1.2967,2.4710
25,1.2879,2.5844
26,1.2788,2.5439
27,1.2697,2.5304
28,1.2607,2.4985
29,1.2522,2.5221
30,1.2439,2.4892
31,1.2357,2.4545
32,1.2277,2.4052
33,1.2197,2.3752
34,1.2123,2.4226
35,1.2047,2.3964
36,1.1976,2.4434
37,1.1900,2.3037
38,1.1830,2.3793
39,1.1759,2.3435
40,1.1693,2.4127
41,1.1624,2.2985
42,1.1554,2.2830
43,1.1486,2.2699
44,1.1415,2.2191
45,1.1347,2.2877
46,1.1278,2.2779
47,1.1209,2.1846
48,1.1138,2.1439
49,1.1071,2.2018
50,1.1001,2.1387
51,1.0940,2.3669
52,1.0871,2.1774
53,1.0804,2.0815
54,1.0737,2.1622
55,1.0669,2.0797
56,1.0599,2.0240
57,1.0530,2.0557
58,1.0459,2.1190
59,1.0390,2.0815
60,1.0320,2.0363
61,1.0251,1.9867
62,1.0181,2.0064
63,1.0112,1.9603
64,1.0045,2.0378
65,0.9977,1.8759
66,0.9909,1.9205
67,0.9842,1.9796
68,0.9776,2.0094
69,0.9711,1.8687
70,0.9646,1.8874
71,0.9580,1.8942
72,0.9516,1.9243
73,0.9454,1.8988
74,0.9392,1.8366
75,0.9331,1.8446
76,0.9269,1.8692
77,0.9210,1.9065
78,0.9151,1.8094
79,0.9096,1.8999
80,0.9040,1.9078
81,0.8985,1.9301
82,0.8933,1.7417
83,0.8885,1.9413
84,0.8830,1.7940
85,0.8778,1.8771
86,0.8734,2.0125
87,0.8683,1.7822
88,0.8636,1.8458
89,0.8587,1.8091
90,0.8539,1.8348
91,0.8491,1.7757
92,0.8444,1.7293
93,0.8399,1.7552
94,0.8355,1.8006
95,0.8310,1.7467
96,0.8265,1.7298
97,0.8222,1.7896
98,0.8178,1.7069
99,0.8137,1.7517
100,0.8095,1.6865
101,0.8055,1.7301
102,0.8017,1.9354
103,0.7977,1.7297
104,0.7938,1.6588
105,0.7900,1.6346
106,0.7862,1.6824
107,0.7825,1.7388
108,0.7788,1.7123
109,0.7752,1.7170
110,0.7718,1.7035
111,0.7683,1.7139
112,0.7653,1.9033
113,0.7619,1.7817
114,0.7586,1.7522
115,0.7554,1.7150
116,0.7524,1.5989
117,0.7491,1.5493
118,0.7458,1.6653
119,0.7429,1.8366
120,0.7398,1.7215
121,0.7368,1.6438
122,0.7337,1.5884
123,0.7307,1.6555
124,0.7278,1.6781
125,0.7249,1.7063
126,0.7220,1.6881
127,0.7192,1.6467
128,0.7163,1.5749
129,0.7135,1.5961
130,0.7108,1.6069
131,0.7081,1.6313
132,0.7055,1.6302
133,0.7028,1.6475
134,0.7002,1.6002
135,0.6976,1.6055
136,0.6951,1.6341
137,0.6926,1.6363
138,0.6902,1.6497
139,0.6877,1.5917
140,0.6852,1.5834
141,0.6828,1.5623
142,0.6804,1.5569
143,0.6780,1.5739
144,0.6757,1.5904
145,0.6733,1.5643
146,0.6710,1.6078
147,0.6688,1.5754
148,0.6666,1.5967
149,0.6644,1.5826
150,0.6622,1.5189
151,0.6600,1.5045
152,0.6579,1.5382
153,0.6557,1.5842
154,0.6537,1.5928
155,0.6516,1.5788
156,0.6495,1.4813
157,0.6475,1.5206
158,0.6454,1.5641
159,0.6435,1.6257
160,0.6416,1.5786
161,0.6396,1.4964
162,0.6377,1.4534
163,0.6358,1.5006
164,0.6340,1.6196
165,0.6322,1.6089
166,0.6304,1.6027
167,0.6286,1.5150
168,0.6269,1.5282
169,0.6251,1.5158
170,0.6233,1.5356
171,0.6217,1.6091
172,0.6200,1.5169
173,0.6183,1.5681
174,0.6166,1.5265
175,0.6150,1.5027
176,0.6133,1.4864
177,0.6117,1.5276
178,0.6101,1.5676
179,0.6085,1.5412
180,0.6070,1.6220
181,0.6055,1.5513
182,0.6040,1.5011
183,0.6025,1.5228
184,0.6011,1.5523
185,0.5996,1.5962
186,0.5982,1.5940
187,0.5968,1.5683
188,0.5954,1.5315
189,0.5940,1.5039
190,0.5925,1.4677
191,0.5911,1.5007
192,0.5898,1.4982
193,0.5884,1.5114
194,0.5870,1.4806
195,0.5856,1.5532
196,0.5844,1.5594
197,0.5830,1.5193
198,0.5818,1.5543
199,0.5805,1.5012
200,0.5792,1.5105
201,0.5779,1.4902
202,0.5766,1.5038
203,0.5754,1.5761
204,0.5741,1.5644
205,0.5729,1.4955
206,0.5716,1.4783
207,0.5704,1.4698
208,0.5692,1.4419
209,0.5680,1.4768
210,0.5667,1.4708
211,0.5655,1.4884
212,0.5644,1.4908
213,0.5632,1.5018
214,0.5620,1.4499
215,0.5608,1.5219
216,0.5597,1.4646
217,0.5585,1.4977
218,0.5574,1.4931
219,0.5563,1.4876
220,0.5551,1.4429
221,0.5540,1.4698
222,0.5529,1.4593
223,0.5518,1.4531
224,0.5507,1.4947
225,0.5496,1.4557
226,0.5486,1.4620
227,0.5475,1.4864
228,0.5464,1.4332
229,0.5454,1.4596
230,0.5444,1.4868
231,0.5434,1.4841
232,0.5423,1.4120
233,0.5413,1.4812
234,0.5403,1.5089
235,0.5393,1.4041
